lab_2	90	490.5	1	
lab_2	90	454.5	1	wand-of-wishing
lab_2	117	490.5	1	
lab_2	117	454.5	1	twoflower
lab_2	198	490.5	1	
lab_2	198	454.5	1	tinning-kit
lab_2	18	364.5	1	hockey-elemental
lab_2	18	328.5	1	hostile-amoeba
lab_2	18	292.5	1	hovering-sombrero
lab_2	18	256.5	1	octopus-gardener
lab_2	18	220.5	1	pickle-on-a-stick
lab_2	18	139.5	1	sabretoothed-lime
lab_2	18	103.5	1	skeletal-sommelier
lab_2	18	67.5	1	smarmy-pirate
lab_2	90	328.5	1	vermincelli
lab_2	90	292.5	1	weretaco
lab_2	90	256.5	1	undead-elbow-macaroni
lab_2	90	220.5	1	swamp-duck
lab_2	117	328.5	1	pastamancer
lab_2	117	292.5	1	baby-purple-worm
lab_2	117	256.5	1	barrow-wight
lab_2	117	220.5	1	ettin-mummy
lab_2	198	328.5	1	paper-golem
lab_2	198	292.5	1	oilskin-sack
lab_2	198	256.5	1	marilith
lab_2	225	328.5	1	pyrolisk
lab_2	225	292.5	1	quivering-blob
lab_2	225	256.5	1	ring-of-slow-digestion
lab_2	225	220.5	1	shrieker
lab_2	90	139.5	1	stab-bat
lab_2	90	103.5	1	spectral-jellyfish
lab_2	90	67.5	1	spaghetti-elemental
lab_2	117	139.5	1	floating-eye
lab_2	117	103.5	1	fumble-boots
lab_2	117	67.5	1	glass-piercer
lab_2	198	139.5	1	little-dog
lab_2	198	103.5	1	ki-rin
lab_2	198	67.5	1	hezrou
lab_2	225	139.5	1	steam-vortex
lab_2	225	103.5	1	stinking-cloud
lab_2	225	67.5	1	tin-of-spinach
lab_2	297	364.5	1	hobopolis
lab_2	297	328.5	1	handsome-mariachi
lab_2	297	292.5	1	goth-giant
lab_2	297	256.5	1	enraged-cow
lab_2	297	220.5	1	emo-squid
lab_2	297	139.5	1	disco-bandit
lab_2	297	103.5	1	cuddlefish
lab_2	297	67.5	1	comma-chameleon
lab_2	49.5	558	0	
lab_2	85.5	558	0	adorable-seal-larva
lab_2	157.5	558	0	titanothere
lab_2	193.5	558	0	
lab_2	265.5	18	0	boba-fettucini
lab_2	229.5	18	0	clockwork-grapefruit
lab_2	157.5	18	0	bazookafish
lab_2	121.5	18	0	astral-badger
lab_2	85.5	18	0	apathetic-lizardman
lab_2	49.5	18	0	angry-goat